ID_REF	VALUE
1007_s_at	11.85381725
1053_at	10.83860118
117_at	2.014942594
121_at	2.020200615
1255_g_at	2.014942594
1294_at	2.014942594
1316_at	5.727174873
1320_at	2.040441039
1405_i_at	2.014942594
1431_at	2.182883736
1438_at	2.014942594
1487_at	10.79261565
1494_f_at	2.014942594
1598_g_at	2.646118317
160020_at	2.014942594
1729_at	7.356778799
177_at	2.400392646
1773_at	2.014942594
179_at	2.014942594
1861_at	7.853444022
200000_s_at	11.93616387
200001_at	13.32518482
200002_at	14.65550138
200003_s_at	14.82041718
200004_at	14.30962055
200005_at	13.99012593
200006_at	14.53121633
200007_at	14.65691982
200008_s_at	12.54832935
200009_at	14.99384613
200010_at	14.68186725
200011_s_at	12.95073086
200012_x_at	15.36469518
200013_at	15.14893558
200014_s_at	14.08516908
200015_s_at	13.43204692
200016_x_at	15.3628451
200017_at	15.08927198
200018_at	15.25910119
200019_s_at	14.67024815
200020_at	13.99781166
200021_at	14.7922536
200022_at	15.18083829
200023_s_at	14.78314819
200024_at	15.03031974
200025_s_at	15.35615455
200026_at	15.31919836
200027_at	14.00017459
200028_s_at	14.5111756
200029_at	15.55577936
200030_s_at	14.80126829
200031_s_at	15.73602557
200032_s_at	15.52938231
200033_at	14.37236248
200034_s_at	15.3601933
200035_at	11.12248599
200036_s_at	14.86747939
200037_s_at	13.96933169
200038_s_at	15.71492792
200039_s_at	13.49173924
200040_at	14.16249734
200041_s_at	14.81570013
200042_at	12.59329739
200043_at	13.95034073
200044_at	14.57490011
200045_at	11.23825189
200046_at	13.46663064
200047_s_at	13.3506711
200048_s_at	13.46496961
200049_at	11.80311591
200050_at	12.67196271
200051_at	10.48226045
200052_s_at	13.44965298
200053_at	10.37729818
200054_at	9.930769512
200055_at	12.61683025
200056_s_at	10.95163876
200057_s_at	14.66722324
200058_s_at	12.58356106
200059_s_at	13.81762444
200060_s_at	13.31395603
200061_s_at	15.30246256
200062_s_at	15.60295658
200063_s_at	15.24045932
200064_at	14.72883244
200065_s_at	14.27222693
200066_at	13.46778848
200067_x_at	12.69141961
200068_s_at	14.75090686
200069_at	10.12316178
200070_at	10.57728496
200071_at	13.14370498
200072_s_at	13.37878094
200073_s_at	14.05652234
200074_s_at	15.20164233
200075_s_at	12.48053072
200076_s_at	11.10991247
200077_s_at	14.94861584
200078_s_at	12.15123162
200079_s_at	13.15708916
200080_s_at	14.98502556
200081_s_at	15.36873242
200082_s_at	14.37649211
200083_at	13.70905494
200084_at	12.70644587
200085_s_at	13.65332199
200086_s_at	14.04271459
200087_s_at	14.63628511
200088_x_at	15.10523775
200089_s_at	15.67804028
200090_at	13.14187433
200091_s_at	14.98146058
200092_s_at	15.74394734
200093_s_at	14.62282597
200094_s_at	15.40265311
200095_x_at	15.73319997
200096_s_at	13.50646031
200097_s_at	14.31871685
200098_s_at	13.44516977
200099_s_at	15.75988946
200593_s_at	13.33897073
200594_x_at	14.57789363
200595_s_at	14.15282257
200596_s_at	12.17589112
200597_at	11.51869656
200598_s_at	14.07137239
200599_s_at	14.59105494
200600_at	11.112621
200601_at	10.90511664
200602_at	13.36178397
200603_at	12.83496519
200604_s_at	11.25858324
