RV0239	-0.541284
RV0238	-0.85014
RV1322	0.232086
RBFA	0.719642
RV1324	-0.929454
RV1321	-0.897044
RV0232	0.107925
RV2929	-1.304957
RV0042C	-1.55509
RV0965C	-0.812057
LEUC	-0.4503345
RV1567C	-0.479748
RV3534C	1.835505
XSEA	-0.710481
XSEB	-1.673457
SPEE	-0.205569
RV1871C	-2.272949
RV0455C	0.011041
RV0927C	0.474882
DNAQ	0.101301
RV3583C	-0.862727
RV3830C	-0.136037
RV3770C	-0.032923
FRDA	-0.12729
FRDB	-0.0659654
PTH	0.48546
FRDD	-0.2698087
RV3241C	1.072858
RV1592C	1.513843
RV1254	0.032783
PURE	-0.715862
RV1524	-0.351201
RV0309	-0.276806
RV0308	0.48854
RV1520	-0.4285745
RV0306	0.168812
RV0268C	0.23363
RV0300	-0.78036
RV0303	-0.676911
RV0302	-0.824971
RV0127	-0.577879
RV2813	0.170793
RV2812	0.1932206
RV0123	0.289671
RV0122	0.250481
LYTB1	-0.412617
RV0128	0.013835
RV3130C	5.310141
RV2949C	-1.4050425
METK	0.524532
YRBE3A	0.765501
METH	0.963128
RV1587C	1.33771
RV3780	-0.691169
RV3782	-0.958586
CMK	-0.989051
RV3785	-0.273558
RV2978C	-0.004401
ERG3	0.603657
RV3788	-0.310025
RV3789	-0.738528
RV0947C	-1.58859
RV2621C	2.626336
RV0380C	-0.360227
RV3848	0.325451
LPPU	-1.090026
DLAT	0.87872
RV2901C	-1.010132
HBHA	0.996978
MPT63	1.129777
VIUB	0.360888
RV2023C	-1.015658
MPT64	-0.1831395
RV2269C	0.0
OXYR'	-0.860376
RV3903C	-0.086944
RV2556C	-0.819895
RV2073C	-0.055693
RV2686C	1.1049245
RV3256C	0.196964
RV3833	2.165602
ENTC	0.091123
RV3259	0.309275
NEI	0.025941
ALR	-0.4474205
RV3831	0.088831
RV3254	-0.1214505
RV2658C	2.471309
RV1102C	-0.020616
FBXL14	0.3230887
RV2729C	1.207951
RV3732	0.103889
RV1505C	-1.411729
RV0595C	0.105646
RV2718C	-0.270622
RV2300C	0.388079
RV3334	1.847282
RV3337	1.398285
USPA	-0.096918
USPB	-0.1155057
USPC	-0.39424
MEZ	0.009567
SUGI	-0.5468
RV0825C	0.162413
RV0108C	-0.79327
GLTS	-0.576225
SUGA	-0.276943
SUGC	-0.775139
SUGB	-0.656366
PLSB1	-0.6133776
PLSB2	-0.3340685
ITGAM	0.267373
RV1111C	-0.418441
GPSI	0.489802
LEPB	-1.329039
CSPB	-0.619101
GLTD	-0.9581105
CSPA	-0.9911465
FRDC	-0.0875266
KGTP	-0.56492
PSTC1	-1.688353
PSTC2	-0.113688
RV2510C	-0.611429
RV1272C	-0.498165
RV3688C	0.361485
GLGC	0.25538
RV1898	0.011333
TYPA	-0.32263
RV1895	0.870887
RV1892	0.261479
RV1893	0.626899
RV1891	0.739391
PPE44	0.164676
PPE45	0.042146
PPE46	0.7858755
PPE47	0.643678
PPE40	-0.756301
PPE41	-1.770875
PPE42	-0.156622
