A2BP1	0.246441635	0.1727524846	0.3083451474	0.027310619	0.2516137243	0.0027436395	0.1535720182	0.1025284576	-0.0228385785	-1.3560998264	0.1241263633	0.0948515004	-0.0308068928	0.0850249211	0.0401010263	0.1452511015	-0.163692275	-0.175864909	-0.0160646276	-0.2085588125	0.1490432025	0.223569754	0.0977191463	0.08446186	-0.0697966458	0.0342721572	0.2693032284	0.2794422123	0.0459734371	0.1049148306	-0.2384392204	0.0146603895	0.2098737416	0.0962832159	0.1094103889	0.170043594	0.1543740063	0.1297940966	0.2620958465	0.2189962179	0.1315942512	0.1512830284	0.1081108285	0.0461217401	0.2592704768	0.1138141308	0.0187155978	-0.7999959235	-0.0298278631	-0.0550225772	-1.0893497766	0.1713674226	-0.6721177631
A2M	-0.337919523	-0.3066951686	-0.3109810928	-0.1447458655	0.7976755443	-0.3071163164	-0.2903220463	0.5015617497	-0.2156910288	-0.3843432738	-0.3284642289	-0.2892808368	-0.3064712913	-0.3682844827	-0.2400523778	0.1113889749	-0.3601739699	-0.4584837916	-0.2431826191	-0.1622892074	-0.3129538429	-0.3463967932	-0.0239362846	1.092951118	-0.3498598234	0.9123740166	-0.3313739131	-0.3201712501	0.9586341664	-0.3260778945	-0.436284529	-0.2545164175	-0.3254117549	-0.3497826412	0.6153273874	-0.3829626198	-0.2079320299	-0.3146502672	-0.3381383983	-0.2000833028	-0.3403120013	1.1441371704	-0.4165552584	-0.2631694263	-0.3692430666	0.244218169	-0.1657607466	-0.4529158282	-0.3603517357	-0.3357764581	0.1268807347	-0.2081481011	-0.2312213898
AANAT	-0.0686813751	-0.0677205563	-0.1428666674	0.2812429111	0.0772252551	-0.2832161483	-0.024499038	0.2134870067	-0.14025474	-0.0686639705	-0.1066954461	-0.0975627058	0.2215655794	-0.1106425313	-0.0256774709	-0.2294986275	-0.2140521868	-0.074988902	-0.1203408178	-0.2770321228	-0.265227326	-0.0112990361	-0.1947257724	-0.2240598973	-0.1352976021	0.011936517	-0.0593704628	-0.1268208955	-0.1286626488	-0.0929111342	-0.2177228785	-0.1255603753	0.0353536327	1.3174474496	-0.0878270121	0.0307965266	-0.2530601869	-0.0898546271	-0.3574327377	-0.0960263744	-0.0824903307	-0.0863595612	-0.1804813348	-0.0331042538	1.4156294024	-0.0028149672	-0.1547798145	-0.2762478595	-0.2240358268	-0.2025778788	-0.0543353256	-0.1770600041	-0.0170290422
ABAT	0.4393377032	0.019700804	0.2575923921	-0.1514786427	-0.2369619684	-0.2289264039	-0.1254481724	0.1973387701	-0.0492601511	-0.1746112848	0.1938593666	0.2478051921	-0.3021130051	0.1466504841	0.255373722	-3.6093191402	0.39737291	0.9019493542	-0.1862069262	0.4681902582	0.6199892552	-0.0398569613	-0.0619952157	0.8220698636	-1.5977486011	0.0463882581	0.4247060969	0.0017142509		0.1393670094	0.8346181666	-0.0618478845	-0.2436894899	-0.5718578248	0.2483867496	-0.1743062124	0.4469381198	-2.640684766	0.4660797372	0.141569921	-1.8197907982	0.119556259	-0.0526128959	-0.0369186851		0.538080891	0.3637792608	-0.0678434358	0.6106678772	-0.0514496376	0.2783806315	0.0361017529	0.3852835111
ABAT	0.3622934189	-0.1246567298	0.2089000803	-0.8062156952	-0.3456970183	-0.1027974082	-0.9622303999	0.1607843689	-0.1277381387	-0.3349250787	0.2139106419	0.1083657289	-0.4149207549	0.2287079128	0.2100293843	-1.6071919527	0.3108404658	0.8414250464	-0.5102136496	0.3887118	0.5537007094	-0.2648530385	-0.0900215663	0.7698251324	-0.9207499276	0.1609591515	0.3888322778	-0.0330884162	-1.8242848989	0.2139124913	0.7291740748	-0.1198297163	-0.8544857748	-1.4954397689	0.1459741484	-0.0458087677	0.4426415331	-1.4772742309	0.3459848908	0.1482376711	-1.3652498974	0.1062309784	-0.3322859004	-0.0567006881	-1.9987311332	0.3905160308	0.2809462792	-0.1008867184	0.5060454966	0.0044657583	0.2918382193	-0.8266657928	0.1757214332
ABCA1	-0.2910265383	-0.7676366942	-0.581411813	0.0872751101	0.8019938143	-0.9541840265	0.5203229769	-0.5103259823	0.9136328179	-1.1206450317	0.1895481133	-0.591431243	0.4038720565	0.4399954094	-0.4687556065	0.4436244692	-0.3887076073	-1.1559360464	-0.9309642575	-1.1343409709	0.3732576748	0.253258517	0.698159743	0.6526190231	0.5732386455	-1.0044505202	-0.9565509715	-1.1181247425	-0.8501286121	-0.7435750677	-0.7824936767	-0.7114252733	-0.4815898966	0.0169873456	-0.6667880467	0.3730091707	0.0250994483	0.0271984348	-0.936572899	-0.7444434819	0.5331116259	-1.245805008	-0.6890064849	0.5674758932	-0.9861086497	-0.1710508428	-0.8165087144	-1.0820363849	-1.0228424277	-0.013309583	1.0624960646	-1.3903579712	-0.0537376553
ABCA12	-0.0809456831	-0.075930193	-1.3078316384	0.0531117636	0.0731455959	-2.0312193687	-0.0839209434	0.1061372711	-0.1908916741	0.2200358721	0.0729878635	0.068807406	0.2465774831	-2.7463517366	-0.2785555788	0.0612187151	0.0673173548	-0.2310188367	0.0097421764	-0.6721816263	0.2709210529	0.5720213604	-0.2739974277	-0.178913811	-0.2646821635	-2.0349379363	-0.2939993289	-0.7389602513	-0.0215697814	0.2094886256	-0.1002034756	-0.0636534437	-1.9945773171	-1.8839741637	-0.1002195665	-0.3075264245	-0.2063586124	0.0317535446	-0.0135054888	0.4149403097	-1.6839834945	-0.3366417754	-0.3174730875	0.0466324271	0.2505294588	-0.37954808	-0.1182954372	0.5894891532	-0.0066816668	0.1125685846	-0.1108590827	-0.8903764442	-0.3327750307
ABCA13	4.585751557	3.9146295343	1.446765714	4.3373681168	3.1007416657	3.9805433155	4.1687850883	1.6162235464	4.6935598082	4.4544372048	3.9657209199	4.1212015457	3.3376086412	4.0688893029	4.3461093533		2.1092637975	4.4267295882	4.0000162746	4.2867814163	3.6640423808	3.3547851203	4.4875103551	4.1661093564	4.5040337119		4.4192544583	4.3138461115	4.3841715876	4.1364191183		4.6672711689		4.4822187948	3.3140730822	4.5454627186	3.9715631538	3.0080632852	4.3374179728		4.2567075391	3.2474567517	4.3089699633	2.411915632	3.8199770181	3.3872137106	4.170059598	4.0169523881	4.3714705105	3.5400711431	4.377615029	2.9800450128	4.1012095418
ABCA13	0.2899657191	0.8826155277	-0.1726932881	0.4872175424	-3.9477592057	1.8217405042	0.3025717004	-0.1251613084	1.2269698316	0.8596252906	0.0151554	0.4397183362	0.4848684713	-0.2704263447	0.5873502734	-0.2988554462	-1.9771466121	0.6106651393	0.4509429391		1.2621777871	0.4764115005	1.079659835	0.3647976923	0.079727711		-3.5715059771		-0.1985007575	1.0395967907	1.3226685978	0.4640102175	2.2463387043		0.4510266359	0.9207662972	0.1301657823	0.5468268591	-0.5126181653	0.1429228925	1.7354220256	0.0417178612	1.5202028809	-0.2951375489		1.1161504175	0.9007087364	2.3232885151	0.1512143729	1.2650714662	0.7579401857	-3.1567267002	-0.6382031201
ABCA13	-0.1219640069	1.0422464666	1.0635487794	-1.8136107503		2.0174664455	-0.050777068	-0.789296302	1.2145947574		-3.1878706728	0.287630956	1.9656477874	-4.4006967535	-0.2855112432	-2.2902148802	-2.549413112	1.8496546074	1.2681809365		1.3694028347	-0.7349165343	0.9764336551		-2.4014533687				-1.1275461868	1.5504526135	1.1632128366	0.3456108317	2.4935707129		-0.1131270284	0.5929260423	-0.2783530345	0.9701799228	-0.0462246449		0.1555122452	0.8248393958	1.41195446			0.1822123862	1.4970894427	2.5869891524	-0.5117506203	0.2815512163		1.2123665478	-1.245484003
