FAM174B	-1.7968493
AP3S2	-4.1303062
SV2B	-0.5335541
RBPMS2	-4.1702538
AVEN	1.0742826
ZSCAN29	-0.84714603
VPS39	-1.5826082
CHP	-3.6578817
CASC5	1.3248997
ATMIN	-2.9229546
UNKL	-1.2083826
TMEM127	-1.7136497
MMP15	-5.440547
PRM1	-4.475361
USP10	1.5764456
HSBP1	0.8004942
ESRP2	-3.1840339
CDH16	-5.9213424
NELL2	-4.1881247
CMIP	2.7035065
GRIN2A	-5.8027234
ZNF598	4.928708
DECR2	1.1672001
NPRL3	2.422103
ORC6L	4.5262604
ORC6L	0.7085552
PPP4C	1.1351509
IL34	-5.6523905
TCEB2	0.4491539
NTN3	-3.8267584
EXOSC6	-1.8967905
ZCCHC14	1.7323084
FAM192A	1.4767742
MTHFSD	-1.8495879
TXNL4B	-2.0623245
MYST1	0.113925934
VKORC1	3.1462164
ROGDI	-1.2969589
HMOX2	1.818367
TMEM170A	0.5526457
ABCC6	0.905324
EXOC7	-0.49495125
PSMB3	3.3057547
LPO	-4.1311345
TBCD	-0.4207716
MGAT4C	-6.897978
HN1	5.889557
PNMT	-5.988722
ZBTB4	1.3820181
SERPINF1	2.8625202
SMG6	-3.320714
HELZ	0.13422108
MAPK7	-0.12452221
PMP22	0.16031075
SKAP1	-5.710904
SMURF2	-2.3755999
SLC25A39	1.761219
PNPLA2	-1.0640297
UBTF	-1.1142311
STAT5B	-2.9871416
STAT3	-3.126359
CCDC56	3.605854
ARL13B	-2.4322996
MYO19	1.3098564
HOXB3	-5.3152976
SUZ12	3.983117
GIT1	-2.6289825
AIPL1	-8.346614
AIPL1	-8.314278
ZFP3	-6.3338223
SPNS3	-1.521266
KRT38	-5.466204
KRT38	-7.8106394
NOTUM	-2.7564898
TMC6	1.7637253
LGALS9C	2.0180197
KRTAP9-3	-8.319599
KRTAP3-2	-6.924703
KRT34	-6.994151
OR1E1	-5.1351094
SPATA22	-7.250772
COPZ2	-0.28364372
CTDP1	0.5048685
GRP	-5.661931
RNF125	-3.374905
NARS	3.9572906
MYO5B	-5.7064104
CYB5A	3.6195126
SFRP1	-2.3348513
C18ORF21	1.8946848
VSIG10L	2.245675
VSIG10L	-1.5915661
ZNF614	-1.432333
ZNF614	-2.769618
SFRP1	-1.501627
ZNF446	0.6580181
ZNF587	0.87610626
EML2	-0.8683176
ZNF285B	-3.946444
ARHGEF1	-1.2945557
KRI1	2.0373783
ATG4D	-1.7850637
NKIRAS2	1.0990534
ZNF426	-1.9550133
CYP2S1	-1.5713367
B3GNT8	-0.41584206
TMEM38A	-3.9112458
C3	5.0729246
EVI5L	-2.605044
NLRP12	-1.0683832
CCDC130	3.7298384
ZNF442	-3.6147099
MAST1	-2.7464561
KLK11	-8.211647
KCNC3	-2.1481814
C19ORF41	-5.3572874
RPS11P5	7.6349983
BCAT2	0.7698574
CHMP6	-1.1018629
FGF21	-7.899205
SPACA4	-6.1522665
ZNF565	-1.132122
ZNF667	-6.266667
KIR3DL2	-7.0414944
PTPRH	-2.636526
ACTN4	0.9310093
ATCAY	-6.4541044
