Reporter Identifier	VALUE
RNUXA	6.901569
alaT	10.455468
glyU	8.823961
tyrT	8.030029
metT	11.7534
trpT	13.16512
thrV	10.268125
gluT	10.706705
aspT	11.234975
pheU	10.177864
argT	11.508469
alaV	10.00428
glnT	7.746812
leuX	10.972968
argV	8.302709
rrs	15.671172
rrl	15.586809
rrf	15.189631
leuW	8.852979
leuV	8.098466
leuU	7.721264
rnpB	13.360405
valV	12.291473
metV	10.153326
asnT	9.028254
proU	9.680698
glyV	10.008404
argW	9.144506
hisT	10.148268
lysU	9.930693
valT	9.15633
glyT	9.429189
cysU	9.300561
glnU	11.189645
alaU	9.915604
ssr	13.746213
metU	9.599637
thrU	9.41294
proY	9.975584
serV	9.344054
serX	8.432115
argU	9.319378
serT	8.380796
serU	7.89419
TEK	6.707781
ITGAM	7.804311
SRD5A2L2	6.780286
KHSRP	6.8161225
PCAF	6.984751
SOX12	6.953
Kcnk1	6.901569
Ctnnd2	6.8161225
V2r16	6.7356534
Dkk1	6.935062
Ebf3	6.8161225
Vegfb	6.6467805
PFAS	6.7356534
MRPS30	6.761567
IL17RB	8.397472
Ddb2	6.998254
Zfp518	6.780286
Mfn2	7.1329813
Rhov	6.8458285
FBXL14	7.0283093
ACE	6.7356534
Lrp11	6.8877897
dnaA	11.4467325
dnaN	11.100286
recF	10.865126
gyrB	12.157718
gyrA	11.728441
Rv0007	11.505168
Rv0008c	9.18672
ppiA	12.387346
Rv0010c	10.918953
Rv0011c	11.796762
Rv0012	10.40105
trpG	10.078792
pknB	10.668225
pknA	11.620619
pbpA	10.873997
rodA	11.471292
pstP	10.955147
fhaB	12.561395
fhaA	10.602432
Rv0021c	9.090136
whiB5	7.7343645
Rv0023	9.516489
Rv0024	9.404706
Rv0025	10.738734
Rv0026	9.875554
Rv0027	9.655286
Rv0028	9.730482
Rv0029	10.151087
Rv0030	10.202164
Rv0031	9.125382
bioF2	8.985497
acpA	8.973228
Rv0034	8.883828
fadD34	9.16067
Rv0036c	10.211769
Rv0037c	9.918804
Rv0038	10.403116
mtc28	10.4589815
leuS	10.1831045
Rv0042c	10.229539
Rv0043c	10.309096
Rv0044c	9.988546
Rv0045c	11.94703
ino1	11.557459
Rv0047c	10.320605
Rv0048c	9.289305
Rv0049	9.688714
ponA1	10.850911
Rv0051	10.722043
Rv0052	9.994279
rpsF	11.415056
ssb	11.941214
rpsR1	12.402289
rplI	13.119667
Rv0057	11.917541
dnaB	11.156603
Rv0059	11.927194
Rv0060	11.065577
Rv0061	9.132762
celA1	8.557702
Rv0063	9.535085
Rv0064	9.641283
Rv0065	9.249041
icd2	10.781
Rv0067c	9.628548
Rv0068	8.653735
sdaA	10.134233
glyA2	9.567737
Rv0071	8.308202
Rv0072	11.802634
Rv0073	11.604516
Rv0074	11.299623
Rv0075	10.41918
Rv0076c	8.434607
Rv0077c	8.721508
Rv0078A	11.194306
hycD	9.029964
Rv0088	10.806084
Rv0090	8.957083
mtn	8.724072
ctpA	9.860768
Rv0093c	9.136711
Rv0095c	7.839738
PPE1	9.256975
Rv0097	10.177133
Rv0098	10.2884245
fadD10	10.18564
Rv0100	11.467867
nrp	9.917082
Rv0102	10.502417
ctpB	10.629331
Rv0104	7.8418097
rpmB1	7.971747
ctpI	10.120586
Rv0108c	10.798221
Rv0110	10.29573
Rv0111	10.186434
gca	10.361533
gmhA	10.969912
gmhB	10.4617605
hddA	10.063645
Rv0116c	9.770489
oxyS	8.641753
oxcA	8.880642
fadD7	8.917853
fusA2	9.559103
Rv0121c	8.77603
Rv0122	9.298985
Rv0123	9.050907
pepA	11.251836
treS	10.879188
Rv0127	10.783591
Rv0128	9.52125
fbpC	12.208074
Rv0130	8.842077
fadE1	8.867607
fgd2	8.424763
Rv0133	10.368576
ephF	11.354252
Rv0135c	10.303595
cyp138	8.815324
msrA	8.959134
Rv0138	9.427825
Rv0140	11.121309
Rv0141c	9.67678
Rv0143c	9.4951315
Rv0144	12.752254
Rv0145	10.547172
Rv0146	10.74699
Rv0147	11.293254
Rv0148	12.2231045
Rv0149	12.382545
PE1	8.545269
PE2	8.931257
ptbB	10.490217
fadE2	9.620381
pntAa	10.057057
pntAb	11.112131
pntB	12.190378
Rv0157A	10.114353
Rv0158	10.923495
PE3	8.46403
PE4	7.809949
Rv0161	8.788029
adhE1	8.637378
Rv0163	9.54501
TB18.5	12.509162
Rv0165c	9.041718
fadD5	10.09235
yrbE1A	12.406385
yrbE1B	11.466733
mce1A	11.971716
mce1B	12.10579
mce1C	11.56669
mce1D	11.436402
lprK	11.781026
mce1F	11.821691
Rv0175	13.1379385
Rv0176	12.310661
Rv0177	12.177529
Rv0178	12.238946
lprO	11.170289
Rv0180c	10.248747
Rv0181c	9.666414
sigG	8.576119
Rv0183	11.017014
Rv0184	10.773444
bglS	10.616161
Rv0187	9.325369
Rv0188	11.556021
ilvD	11.206173
Rv0190	10.262409
Rv0191	9.5189
Rv0192	10.885035
Rv0193c	8.468576
Rv0194	7.8613124
Rv0195	8.066213
Rv0197	10.779823
Rv0198c	10.99273
Rv0199	10.533166
Rv0200	10.830712
mmpL11	10.196933
Rv0203	11.056122
Rv0204c	9.042332
Rv0205	9.971446
mmpL3	11.893191
Rv0207c	11.493828
Rv0208c	10.597576
Rv0210	8.92463
pckA	11.834988
nadR	9.342364
Rv0213c	8.5317955
fadD4	9.1811285
fadE3	10.204656
Rv0216	8.910167
lipW	8.758223
Rv0218	8.14122
lipC	11.636181
Rv0221	11.469755
echA1	9.977863
Rv0223c	9.378899
Rv0224c	9.107121
Rv0225	10.315436
Rv0226c	10.912793
Rv0227c	11.098556
Rv0229c	11.705557
php	8.606604
fadE4	9.754
Rv0232	10.521406
nrdB	10.309988
gabD1	8.922959
Rv0235c	8.403878
Rv0236A	10.200855
Rv0236c	9.22737
lpqI	10.383173
Rv0238	10.968677
Rv0239	11.351392
Rv0240	9.681478
Rv0241c	11.464328
fabG4	11.0146265
fadA2	12.532309
fadE5	10.154108
Rv0245	10.050612
Rv0246	8.340394
Rv0247c	12.482975
Rv0248c	12.287593
Rv0249c	11.665735
Rv0250c	12.074499
hsp	10.242895
nirB	9.169154
nirD	9.354338
cobU	9.714013
cobQ1	9.803493
PPE2	9.014555
Rv0257	9.278003
Rv0258c	8.684141
Rv0259c	7.9478807
Rv0260c	8.112927
narK3	8.122006
aac	9.816635
Rv0263c	9.228781
Rv0264c	9.489151
Rv0265c	9.850071
oplA	9.121504
narU	7.7242203
Rv0268c	10.615511
Rv0269c	8.909078
fadD2	10.743336
fadE6	9.58269
Rv0272c	9.572009
Rv0273c	9.786943
Rv0274	9.831206
Rv0275c	9.989225
Rv0276	10.3800955
Rv0277c	12.194394
PE_PGRS3	9.105229
PE_PGRS4	10.471195
PPE3	12.038642
Rv0281	10.636064
Rv0282	12.248298
