Reporter Identifier	VALUE
RNUXA	6.707781
alaT	10.39282
glyU	11.134086
tyrT	9.611994
metT	10.696047
trpT	11.451175
thrV	10.085542
gluT	9.002348
aspT	11.594418
pheU	10.1933365
argT	9.666414
alaV	10.112853
glnT	7.707814
leuX	9.528498
argV	8.447282
rrs	13.788218
rrl	15.189631
rrf	13.360405
leuW	8.540714
leuV	8.3183975
leuU	7.7377577
rnpB	12.690511
valV	10.050612
metV	10.408356
asnT	10.034322
proU	8.917853
glyV	10.321836
argW	9.090967
hisT	10.837841
lysU	9.031958
valT	9.964104
glyT	8.6804
cysU	11.31599
glnU	9.699957
alaU	9.3099985
ssr	13.535194
metU	9.382402
thrU	8.764153
proY	9.058756
serV	10.490217
serX	8.572391
argU	8.931987
serT	8.3414
serU	7.9222193
TEK	6.8598657
ITGAM	8.071684
SRD5A2L2	6.9061294
KHSRP	6.9061294
PCAF	6.967973
SOX12	6.984751
Kcnk1	7.351398
Ctnnd2	6.83355
V2r16	6.7846093
Dkk1	7.5467257
Ebf3	6.967973
Vegfb	6.7356534
PFAS	7.351398
MRPS30	6.6467805
IL17RB	8.243389
Ddb2	6.9061294
Zfp518	6.602196
Mfn2	6.679638
Rhov	6.7846093
FBXL14	7.351398
ACE	7.351398
Lrp11	6.7356534
dnaA	10.089581
dnaN	10.353323
recF	9.565939
gyrB	11.333622
gyrA	11.702523
Rv0007	11.07167
Rv0008c	9.304163
ppiA	12.213902
Rv0010c	9.914969
Rv0011c	11.321977
Rv0012	10.979886
trpG	9.546446
pknB	9.887008
pknA	10.875581
pbpA	10.098941
rodA	10.465465
pstP	10.86942
fhaB	11.831246
fhaA	10.318698
Rv0021c	9.163329
whiB5	7.9344015
Rv0023	9.094219
Rv0024	9.238281
Rv0025	10.287237
Rv0026	8.94108
Rv0027	10.007286
Rv0028	10.093209
Rv0029	9.292016
Rv0030	9.153788
Rv0031	8.02782
bioF2	8.272163
acpA	8.563759
Rv0034	8.388456
fadD34	8.525584
Rv0036c	10.420189
Rv0037c	10.121312
Rv0038	10.482725
mtc28	11.036262
leuS	9.996842
Rv0042c	8.674449
Rv0043c	10.435879
Rv0044c	9.807945
Rv0045c	13.977469
ino1	14.050302
Rv0047c	11.622479
Rv0048c	9.754
Rv0049	10.334536
ponA1	10.794191
Rv0051	9.634076
Rv0052	9.805773
rpsF	10.826268
ssb	12.10579
rpsR1	12.532309
rplI	13.192187
Rv0057	10.675434
dnaB	9.970057
Rv0059	9.084405
Rv0060	10.987752
Rv0061	8.759964
celA1	8.114586
Rv0063	9.024767
Rv0064	10.6378765
Rv0065	9.372591
icd2	11.505168
Rv0067c	9.643801
Rv0068	10.545341
sdaA	9.158955
glyA2	8.957892
Rv0071	8.205128
Rv0072	11.122889
Rv0073	10.942134
Rv0074	10.399398
Rv0075	9.603409
Rv0076c	8.706969
Rv0077c	8.677648
Rv0078A	11.154911
hycD	10.0302515
Rv0088	11.514623
Rv0090	8.808392
mtn	8.417726
ctpA	10.066803
Rv0093c	9.541098
Rv0095c	7.839738
PPE1	8.400136
Rv0097	9.2727995
Rv0098	9.2337885
fadD10	9.196827
Rv0100	9.575145
nrp	8.405091
Rv0102	10.76791
ctpB	10.488044
Rv0104	7.531149
rpmB1	7.6265583
ctpI	9.79673
Rv0108c	10.004951
Rv0110	9.692224
Rv0111	8.632528
gca	10.364402
gmhA	11.291267
gmhB	10.257911
hddA	9.530632
Rv0116c	10.392094
oxyS	8.787131
oxcA	10.111375
fadD7	9.425844
fusA2	9.852891
Rv0121c	8.82819
Rv0122	9.549466
Rv0123	9.340578
pepA	11.491252
treS	10.123586
Rv0127	10.205712
Rv0128	9.535085
fbpC	13.718898
Rv0130	8.217899
fadE1	9.817644
fgd2	9.112023
Rv0133	10.6778345
ephF	10.888619
Rv0135c	10.391075
cyp138	9.696855
msrA	9.429923
Rv0138	8.223435
Rv0140	12.278101
Rv0141c	10.102394
Rv0143c	9.400113
Rv0144	11.534815
Rv0145	12.133693
Rv0146	12.890755
Rv0147	12.238946
Rv0148	12.502794
Rv0149	12.078669
PE1	8.563149
PE2	8.219345
